"submitNm","distur","siteId","plotId","fireYr","year","cntryId","lastNm","lat","lon","biome","fireId","paired","gtProde","hitRock","orgDepth","srfH2O","topoPos","slope","vegCvr","tsf","tsfClass","estDoy","estDepth","n"
"Baillargeon","burned","a","15B1-T3-29",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",70,1
"Baillargeon","burned","a","15B1-T3-29",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",61,1
"Baillargeon","burned","a","15B1-T3-3",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",80,1
"Baillargeon","burned","a","15B1-T3-3",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",87,1
"Baillargeon","burned","a","15B1-T3-30",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",64,1
"Baillargeon","burned","a","15B1-T3-30",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",54,1
"Baillargeon","burned","a","15B1-T3-4",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",70,1
"Baillargeon","burned","a","15B1-T3-4",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",80,1
"Baillargeon","burned","a","15B1-T3-5",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",70,1
"Baillargeon","burned","a","15B1-T3-5",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",79,1
"Baillargeon","burned","a","15B1-T3-6",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",58,1
"Baillargeon","burned","a","15B1-T3-6",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",74,1
"Baillargeon","burned","a","15B1-T3-7",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",72,1
"Baillargeon","burned","a","15B1-T3-7",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",82,1
"Baillargeon","burned","a","15B1-T3-8",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",74,1
"Baillargeon","burned","a","15B1-T3-9",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2705,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",70,1
"Baillargeon","burned","a","15B1-T5-1",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2706,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",60,1
"Baillargeon","burned","a","15B1-T5-1",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2706,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",82,1
"Baillargeon","burned","a","15B1-T5-10",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2706,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",73,1
"Baillargeon","burned","a","15B1-T5-10",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2706,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",71,1
"Baillargeon","burned","a","15B1-T5-11",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2706,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",83,1
"Baillargeon","burned","a","15B1-T5-11",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2706,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",66,1
"Baillargeon","burned","a","15B1-T5-12",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2706,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",81,1
"Baillargeon","burned","a","15B1-T5-12",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2706,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",67,1
"Baillargeon","burned","a","15B1-T5-13",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2706,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",79,1
